albumId,albumTitle,albumType,discNumber,trackNumber,kind,title,artist,duration,durationMs,appleTrackId,musicbrainzRecordingId,url,previewUrl,source,sourceUrl,supplemented
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,1,song,時代曲,陳奕迅,4:22,262427,892603737,,https://music.apple.com/hk/album/%E6%99%82%E4%BB%A3%E6%9B%B2/892603736?i=892603737&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ee/1f/05/ee1f0586-1456-c405-f82d-146c1ca1d010/mzaf_4627896338762014002.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,2,song,傷信,陳奕迅,4:41,280640,892603738,,https://music.apple.com/hk/album/%E5%82%B7%E4%BF%A1/892603736?i=892603738&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/45/3b/5f/453b5f20-88ad-8ba2-b5bb-27ee91178290/mzaf_10287973170261421477.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,3,song,遊離份子,陳奕迅,4:56,296493,892603739,,https://music.apple.com/hk/album/%E9%81%8A%E9%9B%A2%E4%BB%BD%E5%AD%90/892603736?i=892603739&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/24/45/f5/2445f5be-c308-9ad5-e45b-bb5771aa57c7/mzaf_8496915212387342776.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,4,song,我怕你不肯,陳奕迅,4:29,269027,892603740,,https://music.apple.com/hk/album/%E6%88%91%E6%80%95%E4%BD%A0%E4%B8%8D%E8%82%AF/892603736?i=892603740&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a9/6e/b6/a96eb632-4a19-a576-b125-756a998d34f3/mzaf_1302558199542345921.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,5,song,有意無意,陳奕迅,3:41,220547,892603741,,https://music.apple.com/hk/album/%E6%9C%89%E6%84%8F%E7%84%A1%E6%84%8F/892603736?i=892603741&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f0/0e/a0/f00ea030-74ad-46db-e80b-aa7d226c8adf/mzaf_7512055458740027894.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,6,song,安守本份,陳奕迅,5:00,300200,892603742,,https://music.apple.com/hk/album/%E5%AE%89%E5%AE%88%E6%9C%AC%E4%BB%BD/892603736?i=892603742&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/53/80/75/538075f8-6e32-0a9b-3b57-8e8b097be137/mzaf_11945631826263294169.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,7,song,愛情幼稚,陳奕迅,4:20,259680,892603743,,https://music.apple.com/hk/album/%E6%84%9B%E6%83%85%E5%B9%BC%E7%A8%9A/892603736?i=892603743&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/bf/c0/b8/bfc0b87f-3e22-9c23-b135-943fbe33ca8d/mzaf_8017658911122438226.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,8,song,從未痴心,陳奕迅,4:09,249227,892603744,,https://music.apple.com/hk/album/%E5%BE%9E%E6%9C%AA%E7%97%B4%E5%BF%83/892603736?i=892603744&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6b/76/a8/6b76a826-ea8d-6c75-a7ce-430139cf1212/mzaf_9800195917140622000.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,9,song,其實我記得,楊千嬅 & 陳奕迅,4:21,260813,892603745,,https://music.apple.com/hk/album/%E5%85%B6%E5%AF%A6%E6%88%91%E8%A8%98%E5%BE%97/892603736?i=892603745&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/26/27/19/262719ba-29a3-9d6e-7c7c-8352f5d98efd/mzaf_5159037098190784351.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-892603736,華星DSD復刻經典: 陳奕迅,studio,1,10,song,當心中有戀愛感覺,陳奕迅,4:55,295053,892603751,,https://music.apple.com/hk/album/%E7%95%B6%E5%BF%83%E4%B8%AD%E6%9C%89%E6%88%80%E6%84%9B%E6%84%9F%E8%A6%BA/892603736?i=892603751&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/05/99/e0/0599e057-ae24-553d-6c73-a1cbd772d88a/mzaf_10238557402582392050.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=892603736&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,1,song,一滴眼淚,陳奕迅,5:20,320107,1694525414,,https://music.apple.com/hk/album/%E4%B8%80%E6%BB%B4%E7%9C%BC%E6%B7%9A/1694525409?i=1694525414&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/3b/62/9d/3b629ddd-3401-e44c-817c-72fc750b7ac2/mzaf_11466379048440084321.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,2,song,拜訪,陳奕迅,4:30,270373,1694525568,,https://music.apple.com/hk/album/%E6%8B%9C%E8%A8%AA/1694525409?i=1694525568&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/97/ae/58/97ae583b-5024-01b7-5110-4c7c5d527e10/mzaf_4873228332667865957.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,3,song,愛到瘋,陳奕迅,4:01,241280,1694525570,,https://music.apple.com/hk/album/%E6%84%9B%E5%88%B0%E7%98%8B/1694525409?i=1694525570&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/42/05/64/4205641d-31c2-3658-bc7e-e10dbbd7a647/mzaf_1624529977665505221.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,4,song,永遠都天明,陳奕迅,4:12,252333,1694525572,,https://music.apple.com/hk/album/%E6%B0%B8%E9%81%A0%E9%83%BD%E5%A4%A9%E6%98%8E/1694525409?i=1694525572&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/2e/1b/6c/2e1b6cfb-9673-0b56-a103-b6ecaf2b2d60/mzaf_252414731541662447.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,5,song,情深怎麼辦,陳奕迅,4:38,278307,1694525573,,https://music.apple.com/hk/album/%E6%83%85%E6%B7%B1%E6%80%8E%E9%BA%BC%E8%BE%A6/1694525409?i=1694525573&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/c5/6d/5e/c56d5ed8-9478-df69-de23-53c948a07ba5/mzaf_8201594442349268491.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,6,song,我怎麼可以哭,陳奕迅,4:48,287600,1694525574,,https://music.apple.com/hk/album/%E6%88%91%E6%80%8E%E9%BA%BC%E5%8F%AF%E4%BB%A5%E5%93%AD/1694525409?i=1694525574&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/ed/e9/0b/ede90b08-7334-a595-5879-17054e4dccf4/mzaf_4523307187523410443.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,7,song,學會愛,陳奕迅,3:41,221133,1694525576,,https://music.apple.com/hk/album/%E5%AD%B8%E6%9C%83%E6%84%9B/1694525409?i=1694525576&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/36/87/7d/36877d63-cdd5-aab6-dbb9-64dac2d678e1/mzaf_11960738876905598598.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,8,song,Style,陳奕迅,4:06,245573,1694525577,,https://music.apple.com/hk/album/style/1694525409?i=1694525577&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/02/76/5c/02765c25-6aa9-6e9c-ddf6-50f50c984f0d/mzaf_94854225566177980.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,9,song,二個人的夜晚,陳奕迅,4:54,294400,1694525578,,https://music.apple.com/hk/album/%E4%BA%8C%E5%80%8B%E4%BA%BA%E7%9A%84%E5%A4%9C%E6%99%9A/1694525409?i=1694525578&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/6c/aa/92/6caa92b6-14f7-2811-9c2b-4f97bef3512b/mzaf_7905852464199028932.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
apple-1694525409,一滴眼淚,studio,1,10,song,感情約,陳奕迅,5:05,304693,1694525579,,https://music.apple.com/hk/album/%E6%84%9F%E6%83%85%E7%B4%84/1694525409?i=1694525579&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/6d/9e/51/6d9e5162-6ace-61b5-23fe-795b580fea72/mzaf_11707559612415663395.plus.aac.p.m4a,Apple iTunes Search API,https://itunes.apple.com/lookup?id=1694525409&entity=song&limit=200&country=hk,False
